NY.GDP.MKTP.KD,NY.GDP.MKTP.KN,SH.STA.SUIC.P5,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.PC.CD,SP.ADO.TFRT,SP.DYN.CBRT.IN,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,SP.POP.GROW,SP.POP.TOTL
150300719889.204,382081000000.0,3.5,4.71548748,241.92869568,66.0112,20.621,15.3,74.41,2.546,0.812925977468265,29027680.0
159810535617.601,406256000000.0,3.3,4.53341627,264.88504028,64.1646,20.109,14.6,74.697,2.493,0.811896398192238,29264314.0
169622462555.073,431199000000.0,3.2,4.74023867,309.84738159,62.318,19.617,13.9,74.981,2.441,0.825158485436818,29506790.0
179549648065.8,456435000000.0,3.1,4.76035166,323.16552734,61.2308,19.185,13.3,75.258,2.394,0.901465289348181,29773986.0
183826803243.25,467308000000.0,2.9,4.978508,334.68731689,60.1436,18.827,12.7,75.529,2.355,1.05701942309521,30090372.0
189805300841.603,482506000000.0,2.7,4.97963047,312.72171021,59.0564,18.544,12.2,75.792,2.323,1.25615925906743,30470739.0
197308909322.23,501581000000.0,2.6,4.97274113,313.5171814,57.9692,18.323,11.7,76.044,2.297,1.48315720541552,30926036.0
202278796061.116,514215000000.0,2.7,4.91776848,334.82333374,56.882,18.134,11.2,76.286,2.275,1.66192767329954,31444299.0
210307952165.865,534626000000.0,2.8,5.19757748,365.86383057,55.9518,17.949,10.7,76.516,2.254,1.7182682912873,31989265.0
215020178954.302,546605000000.0,2.8,5.21506882,370.10995483,55.0216,17.756,10.3,76.736,2.233,1.6161567459337,32510462.0
